station_id,session_id,measurement,trial,sample,stamp,x,y,yaw
docking_2,20260926_143917_184983,baseline,,1,1790401315.528548643,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,2,1790401315.727646330,-0.17930108426041677,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,3,1790401315.827313805,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,4,1790401315.927281544,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,5,1790401316.027795326,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,6,1790401316.080362313,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,7,1790401316.228725177,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,8,1790401316.327277056,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,9,1790401316.427662110,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,10,1790401316.527449211,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,11,1790401316.586609220,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,12,1790401316.727578494,-0.1793010842604168,0.11853229362246875,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,13,1790401316.827294298,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,14,1790401316.927319402,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,15,1790401317.027634416,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,16,1790401317.128602103,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,17,1790401317.278596389,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,18,1790401317.382293800,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,19,1790401317.486663018,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,20,1790401317.579675904,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,21,1790401317.627814565,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,22,1790401317.787692716,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,23,1790401317.878765648,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,24,1790401318.027738770,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,25,1790401318.088742596,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,26,1790401318.179866523,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,27,1790401318.282393875,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,28,1790401318.389789667,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,29,1790401318.527372747,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
docking_2,20260926_143917_184983,baseline,,30,1790401318.584285477,-0.1793010842604168,0.1185322936224687,-0.00647408241965869
