station_id,session_id,trial,perturbation,description,target_value,target_unit,mean_x,mean_y,mean_yaw,sample_std_x,sample_std_y,sample_std_yaw,sample_count,completed_at
docking_1,20260924_182003_824136,1,forward,,0.5,m,-0.1226034949649771,0.3601244258780393,-0.009083462879248275,0.0013168436455503194,2.4996635019356176e-05,0.0003668629821890334,30,2026-09-24T18:25:36.579+09:00
docking_1,20260924_182003_824136,2,clockwise,,60.0,deg,-0.12407742111632764,0.39253672652119154,0.057124487835801534,3.893604459554475e-06,2.5552111382620564e-07,0.006028899412448727,30,2026-09-24T18:26:12.018+09:00
docking_1,20260924_182003_824136,3,counter_clockwise,,60.0,deg,-0.14568739549060847,0.3702250803684541,0.04298644262494459,2.9310558542565564e-05,9.214885061459433e-07,0.0001971424211897433,30,2026-09-24T18:26:41.197+09:00
docking_1,20260924_182003_824136,4,forward,,0.7,m,-0.11237687676625312,0.3994088980748148,-0.002746961395163192,0.005001949932338328,0.005972290055753897,0.018084395860797242,30,2026-09-24T18:28:28.274+09:00
docking_1,20260924_182003_824136,5,clockwise,,60.0,deg,-0.11205859054362335,0.3728838968148296,0.07144124041907089,1.083293587817735e-05,4.87668829965163e-07,0.00613469724066002,30,2026-09-24T18:29:02.094+09:00
docking_1,20260924_182003_824136,6,counter_clockwise,,60.0,deg,-0.11029549596648838,0.383151908309394,0.038676519817373765,2.351654808037964e-05,3.96852879597235e-07,0.004970470511390449,30,2026-09-24T18:29:28.105+09:00
docking_1,20260924_182003_824136,7,forward,,0.5,m,-0.09700734849684893,0.3721181090709432,0.08503514767894409,0.0004331184471358201,0.00012028619899048585,0.005143413296386573,30,2026-09-24T18:31:08.513+09:00
docking_1,20260924_182003_824136,8,clockwise,,90.0,deg,-0.09345940864877499,0.39496547422505796,0.05081792466122421,0.0019784047619985524,0.00036933971211365135,0.007573358023080473,30,2026-09-24T18:32:36.133+09:00
docking_1,20260924_182003_824136,9,counter_clockwise,,90.0,deg,-0.15960870818918507,0.31662313246551643,0.07814488132624091,3.561643294765553e-05,3.2935947564274947e-06,0.00014116609022228084,30,2026-09-24T18:33:08.963+09:00
docking_1,20260924_182003_824136,10,forward,,0.3,m,-0.13969018856638243,0.362752736119815,0.02964070731014112,0.002172853246541196,6.971910655842308e-05,0.0007215103976778685,30,2026-09-24T18:33:39.438+09:00
