run_id,started_at,finished_at,robot_id,ros_domain_id,experiment_name,scenario_id,status,trial_rows,completed_rows,nav_success_count,git_commit,result_directory
20260921_160111_turtle2_amcl_validation,2026-09-21T16:01:11+09:00,2026-09-21T16:04:17+09:00,turtle2,31,amcl_validation,straight_goal,INTERRUPTED,1,0,0,dbbad64748b45088e85fa276cedbeae6b0849d9b-dirty,/home/woozoo/dev/Logistics_AMR_logitle/experiment_data/20260921_160111_turtle2_amcl_validation
20260921_160535_turtle2_amcl_validation,2026-09-21T16:05:35+09:00,2026-09-21T16:06:28+09:00,turtle2,31,amcl_validation,straight_goal,INTERRUPTED,1,0,0,dbbad64748b45088e85fa276cedbeae6b0849d9b-dirty,/home/woozoo/dev/Logistics_AMR_logitle/experiment_data/20260921_160535_turtle2_amcl_validation
20260921_160930_turtle2_amcl_validation,2026-09-21T16:09:30+09:00,2026-09-21T16:10:23+09:00,turtle2,31,amcl_validation,straight_goal,INTERRUPTED,1,0,0,dbbad64748b45088e85fa276cedbeae6b0849d9b-dirty,/home/woozoo/dev/Logistics_AMR_logitle/experiment_data/20260921_160930_turtle2_amcl_validation
20260921_161420_turtle2_amcl_validation,2026-09-21T16:14:20+09:00,2026-09-21T16:15:15+09:00,turtle2,31,amcl_validation,goal_alignment,INTERRUPTED,1,0,0,dbbad64748b45088e85fa276cedbeae6b0849d9b-dirty,/home/woozoo/dev/Logistics_AMR_logitle/experiment_data/20260921_161420_turtle2_amcl_validation
20260921_161546_turtle2_amcl_validation,2026-09-21T16:15:46+09:00,2026-09-21T16:20:54+09:00,turtle2,31,amcl_validation,goal_alignment,INTERRUPTED,2,1,0,dbbad64748b45088e85fa276cedbeae6b0849d9b-dirty,/home/woozoo/dev/Logistics_AMR_logitle/experiment_data/20260921_161546_turtle2_amcl_validation
