station_id,session_id,measurement,trial,sample,stamp,x,y,yaw
docking_3,20260926_153204_956428,baseline,,1,1790404332.202659975,-0.16463687688452694,-0.30790441545617886,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,2,1790404332.302629544,-0.16463687688451098,-0.30790441545617986,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,3,1790404332.405625490,-0.16463687688454035,-0.3079044154561782,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,4,1790404332.451141938,-0.16463687688448142,-0.30790441545618175,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,5,1790404332.603661804,-0.16463687688455592,-0.3079044154561773,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,6,1790404332.751148029,-0.16463687688452255,-0.3079044154561793,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,7,1790404332.851161171,-0.16463687688455503,-0.3079044154561773,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,8,1790404332.951182423,-0.1646368768845439,-0.3079044154561781,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,9,1790404333.111310897,-0.16463687688462947,-0.307904415456173,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,10,1790404333.203755021,-0.16463687688457204,-0.3079044154561764,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,11,1790404333.304692945,-0.16463687688457093,-0.30790441545617653,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,12,1790404333.410777747,-0.16463687688461626,-0.30790441545617386,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,13,1790404333.504769373,-0.16463687688457945,-0.307904415456176,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,14,1790404333.604800328,-0.1646368768845736,-0.3079044154561763,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,15,1790404333.714725646,-0.164636876884643,-0.3079044154561722,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,16,1790404333.802804199,-0.16463687688458836,-0.3079044154561753,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,17,1790404333.905779793,-0.16463687688459733,-0.30790441545617464,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,18,1790404334.012797377,-0.16463687688463627,-0.3079044154561723,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,19,1790404334.151156102,-0.16463687688458462,-0.3079044154561753,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,20,1790404334.251216889,-0.16463687688458395,-0.3079044154561754,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,21,1790404334.351264417,-0.16463687688457884,-0.30790441545617575,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,22,1790404334.451194857,-0.16463687688457393,-0.307904415456176,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,23,1790404334.551268940,-0.16463687688457562,-0.30790441545617586,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,24,1790404334.651140290,-0.16463687688458828,-0.3079044154561751,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,25,1790404334.751157745,-0.1646368768845846,-0.3079044154561753,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,26,1790404334.851474782,-0.16463687688458215,-0.3079044154561754,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,27,1790404334.954309881,-0.1646368768845928,-0.30790441545617486,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,28,1790404335.051348328,-0.16463687688458192,-0.30790441545617564,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,29,1790404335.151228436,-0.16463687688457973,-0.30790441545617575,-0.059318073166542785
docking_3,20260926_153204_956428,baseline,,30,1790404335.251189782,-0.16463687688458684,-0.3079044154561753,-0.059318073166542785
docking_3,20260926_153204_956428,trial,1,1,1790404400.005565824,-0.20001229411733343,-0.30368714456783086,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,2,1790404400.051175593,-0.20001229440479976,-0.3036871445053566,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,3,1790404400.251176357,-0.20001229430827513,-0.3036871445263243,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,4,1790404400.351153813,-0.200012294342882,-0.30368714451879997,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,5,1790404400.451213267,-0.2000122941785795,-0.30368714455450296,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,6,1790404400.551172354,-0.20001229423389308,-0.30368714454247936,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,7,1790404400.605608280,-0.20001229405061485,-0.3036871445823077,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,8,1790404400.751667044,-0.20001229414066443,-0.30368714456273505,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,9,1790404400.851215331,-0.20001229419864444,-0.3036871445501329,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,10,1790404400.951327356,-0.20001229422860542,-0.30368714454362,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,11,1790404401.051181688,-0.20001229426307196,-0.3036871445361282,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,12,1790404401.108796466,-0.20001229400313084,-0.3036871445926176,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,13,1790404401.251150414,-0.20001229426382475,-0.30368714453596224,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,14,1790404401.351160647,-0.2000122942895821,-0.3036871445303637,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,15,1790404401.451156103,-0.200012294270604,-0.3036871445344871,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,16,1790404401.551205464,-0.20001229428760883,-0.3036871445307907,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,17,1790404401.651145477,-0.20001229430398396,-0.30368714452723156,-0.21399164954876543
docking_3,20260926_153204_956428,trial,1,18,1790404401.751207227,-0.20001229427180914,-0.30368714453422285,-0.21399164954876543
