station_id,session_id,trial,perturbation,description,target_value,target_unit,mean_x,mean_y,mean_yaw,sample_std_x,sample_std_y,sample_std_yaw,sample_count,completed_at
docking_1,20260926_142413_102967,1,forward,,0.5,m,-0.16647687905277433,0.34509835236456315,0.05172345405324396,3.121578527233377e-06,1.6012150473616426e-07,3.3121100850884064e-05,30,2026-09-26T14:28:34.562+09:00
docking_1,20260926_142413_102967,2,clockwise,,90.0,deg,-0.14283121352414435,0.33825867092580497,0.1426271424336964,9.88172850190534e-11,1.4188300062942036e-11,0.0,30,2026-09-26T14:29:28.906+09:00
docking_1,20260926_142413_102967,3,counter_clockwise,,90.0,deg,-0.11910448441305113,0.3960727393626346,0.020718905049914464,5.219004737094755e-06,1.1074275513013645e-07,0.00010708010512767952,30,2026-09-26T14:30:19.513+09:00
docking_1,20260926_142413_102967,4,forward,,0.7,m,-0.13451040638702694,0.3916117677067194,0.019101244856649175,7.748830146821717e-10,1.485947149609662e-11,0.0,30,2026-09-26T14:31:37.530+09:00
docking_1,20260926_142413_102967,5,clockwise,,60.0,deg,-0.11757902052766728,0.417711275628611,-0.028198286064321995,1.850329981458347e-12,5.184744903159827e-14,0.0,30,2026-09-26T14:32:25.129+09:00
docking_1,20260926_142413_102967,6,counter_clockwise,,60.0,deg,-0.12160655789349528,0.41313998656159684,0.02315298683161059,1.3989242253111049e-05,3.241745738344436e-07,3.441332770092132e-05,30,2026-09-26T14:33:06.334+09:00
docking_1,20260926_142413_102967,7,forward,,0.5,m,-0.13299844985038298,0.4147993770728903,0.003970966906616148,1.249964497261302e-05,4.6530800273900303e-08,7.627181068863184e-05,30,2026-09-26T14:34:07.301+09:00
docking_1,20260926_142413_102967,8,clockwise,,60.0,deg,-0.13141757035370397,0.35972842163011237,0.003994736337803238,3.7706793235446327e-06,1.4277080492192368e-08,3.4858231606000373e-05,30,2026-09-26T14:34:52.589+09:00
docking_1,20260926_142413_102967,9,counter_clockwise,,60.0,deg,-0.17133638466022588,0.3615120922751027,0.057085914194114774,8.31071862480087e-06,4.785825632546352e-07,6.053068602716611e-05,30,2026-09-26T14:35:25.036+09:00
docking_1,20260926_142413_102967,10,forward,,0.5,m,-0.14371307408589643,0.3693900603547797,0.07910150157639277,1.503452911199407e-05,1.1847420418535767e-06,0.00010553564110764746,30,2026-09-26T14:36:42.645+09:00
