condition,n,position_error_mean_cm,position_error_std_cm,yaw_error_mean_deg,yaw_error_std_deg,drift_mean_percent,drift_std_percent
baseline,3,12.193966666666668,0.5419801134113076,14.233118333333332,0.7101314908841414,5.080826666666667,0.2258199349068486
ekf,3,6.0324333333333335,0.7637856527412215,8.868264333333334,1.332856559565332,2.5135056666666666,0.318247409171439
