station_id,session_id,measurement,trial,sample,stamp,x,y,yaw
docking_2,20260926_152042_737704,baseline,,1,1790403665.351200948,-0.13837133051070175,0.00018361969822228152,-0.016567889371686295
docking_2,20260926_152042_737704,baseline,,2,1790403665.503150531,-0.13837263719919476,0.00018363411713429034,-0.016566389301523533
docking_2,20260926_152042_737704,baseline,,3,1790403665.603227363,-0.1383738769966117,0.00018364813447657724,-0.016420292899977262
docking_2,20260926_152042_737704,baseline,,4,1790403665.710218732,-0.1383740032012672,0.00018365267339559566,-0.016566013514986096
docking_2,20260926_152042_737704,baseline,,5,1790403665.803139606,-0.1383865773222563,0.00018385773557766383,-0.01665393135801051
docking_2,20260926_152042_737704,baseline,,6,1790403665.851170950,-0.13837545117794242,0.00018366842025546726,-0.016506965838200653
docking_2,20260926_152042_737704,baseline,,7,1790403666.007187860,-0.13837545153844624,0.00018366842811029516,-0.016506965756924345
docking_2,20260926_152042_737704,baseline,,8,1790403666.112609040,-0.13837545202866786,0.00018366843729328286,-0.016506965756924345
docking_2,20260926_152042_737704,baseline,,9,1790403666.262764456,-0.13837545204707713,0.000183668438919371,-0.016506965756924345
docking_2,20260926_152042_737704,baseline,,10,1790403666.351730070,-0.13837545138946317,0.00018366842873607236,-0.016506965756924345
docking_2,20260926_152042_737704,baseline,,11,1790403666.452346903,-0.13839186622041527,0.0001839375436481494,-0.016506965858078537
docking_2,20260926_152042_737704,baseline,,12,1790403666.551151039,-0.13840906338005074,0.0001842233079420441,-0.01671706509920323
docking_2,20260926_152042_737704,baseline,,13,1790403666.651194811,-0.13838843823335617,0.00018387848173956334,-0.016588147844052156
docking_2,20260926_152042_737704,baseline,,14,1790403666.751170641,-0.13838843814084714,0.0001838784813052441,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,15,1790403666.851138823,-0.13838843808930185,0.00018387848142120689,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,16,1790403666.951199502,-0.13838843804998657,0.00018387848162548792,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,17,1790403667.051173811,-0.1383884382635805,0.00018387848592299472,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,18,1790403667.151170729,-0.13838843820689997,0.00018387848564727083,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,19,1790403667.251844334,-0.1383884383342188,0.00018387848834899856,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,20,1790403667.351188767,-0.1383884383881108,0.00018387848975559562,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,21,1790403667.451191184,-0.13838843833615735,0.00018387848934842133,-0.016588147762372156
docking_2,20260926_152042_737704,baseline,,22,1790403667.551143047,-0.13840185466082583,0.00018409981959521815,-0.016588147845195234
docking_2,20260926_152042_737704,baseline,,23,1790403667.651212148,-0.13839301805608112,0.000183950457862736,-0.01661677788000392
docking_2,20260926_152042_737704,baseline,,24,1790403667.803426767,-0.13840536635980955,0.0001841544269529649,-0.016616777862289205
docking_2,20260926_152042_737704,baseline,,25,1790403667.903475239,-0.13838882304619782,0.00018387672601466454,-0.016590550143053218
docking_2,20260926_152042_737704,baseline,,26,1790403668.011300689,-0.13839961519586136,0.00018405515669916994,-0.016590550133112274
docking_2,20260926_152042_737704,baseline,,27,1790403668.104522210,-0.1383724542631863,0.00018360157747265848,-0.01648821671512034
docking_2,20260926_152042_737704,baseline,,28,1790403668.204521864,-0.1383724542079544,0.0001836015763372334,-0.016488216628557588
docking_2,20260926_152042_737704,baseline,,29,1790403668.307500242,-0.13837245429088607,0.0001836015775006361,-0.016488216628557588
docking_2,20260926_152042_737704,baseline,,30,1790403668.402663957,-0.13838969110618943,0.0001838852858610518,-0.016673866167514532
docking_2,20260926_152042_737704,trial,1,1,1790403770.351365374,-0.15234252831568768,0.01178147505435051,-0.024900547116955357
docking_2,20260926_152042_737704,trial,1,2,1790403770.451177389,-0.15236488127344078,0.011782031945975213,-0.02476081335250938
docking_2,20260926_152042_737704,trial,1,3,1790403770.551160547,-0.1523785704716806,0.011782386175648196,-0.024760813352251786
docking_2,20260926_152042_737704,trial,1,4,1790403770.651152353,-0.1523661980400065,0.01178203537667899,-0.02494764987741895
docking_2,20260926_152042_737704,trial,1,5,1790403770.751196454,-0.15235917063485363,0.011781897207490621,-0.025051123703292346
docking_2,20260926_152042_737704,trial,1,6,1790403770.851171520,-0.1523625854270816,0.011781963272071316,-0.024846463667649688
docking_2,20260926_152042_737704,trial,1,7,1790403770.951269601,-0.15235503150266477,0.011781779367483702,-0.02488849732709832
docking_2,20260926_152042_737704,trial,1,8,1790403771.051150112,-0.15231551524113496,0.01178079348043437,-0.02493449129476124
docking_2,20260926_152042_737704,trial,1,9,1790403771.151147304,-0.15233296628815549,0.01178125465464086,-0.02502224149250312
docking_2,20260926_152042_737704,trial,1,10,1790403771.302478027,-0.15234488417281794,0.011781537258521935,-0.025259122230186472
docking_2,20260926_152042_737704,trial,1,11,1790403771.404443071,-0.15233333281171096,0.011781248761071728,-0.025108681117023038
docking_2,20260926_152042_737704,trial,1,12,1790403771.507457512,-0.15233333073515634,0.011781248729058114,-0.025005740423996416
docking_2,20260926_152042_737704,trial,1,13,1790403771.603493963,-0.152351385148802,0.011781694761270112,-0.025195225149976436
docking_2,20260926_152042_737704,trial,1,14,1790403771.703536227,-0.1523562076741612,0.011781812575031136,-0.025225233318070393
docking_2,20260926_152042_737704,trial,1,15,1790403771.808565353,-0.1523759552495596,0.0117823090737737,-0.02527223530452619
docking_2,20260926_152042_737704,trial,1,16,1790403771.904569878,-0.15237595928932504,0.01178230918851736,-0.025272235367270673
docking_2,20260926_152042_737704,trial,1,17,1790403772.004615717,-0.15234214216844616,0.011781457503935389,-0.025272235367270673
docking_2,20260926_152042_737704,trial,1,18,1790403772.151185550,-0.15234892307739012,0.011781622258135116,-0.025187346363105975
docking_2,20260926_152042_737704,trial,1,19,1790403772.251168128,-0.15233574771600508,0.011781287881869829,-0.02518734636579893
