elapsed_sec,phase,odom_x_m,odom_y_m,odom_yaw_deg,relative_x_m,relative_y_m,relative_yaw_deg
0.0085,long_1_forward,0.000009,0.000000,3.302056,-0.000000,-0.000000,0.009523
0.0110,long_1_forward,0.000009,0.000000,3.302056,-0.000000,-0.000000,0.009523
0.0125,long_1_forward,0.000009,0.000000,3.311516,-0.000000,-0.000000,0.018983
0.0140,long_1_forward,0.000009,0.000000,3.304168,-0.000000,-0.000000,0.011635
0.0745,long_1_forward,0.000009,0.000000,3.313638,-0.000000,-0.000000,0.021105
0.1095,long_1_forward,0.000009,0.000000,3.304792,-0.000000,-0.000000,0.012259
0.1736,long_1_forward,0.000143,0.000008,3.273272,0.000135,-0.000000,-0.019261
0.2096,long_1_forward,0.001617,0.000091,3.205934,0.001611,-0.000001,-0.086599
0.2748,long_1_forward,0.004400,0.000247,3.211309,0.004398,-0.000006,-0.081224
0.3063,long_1_forward,0.008331,0.000468,3.278644,0.008336,-0.000011,-0.013889
0.3732,long_1_forward,0.013027,0.000738,3.344870,0.013040,-0.000011,0.052337
0.4067,long_1_forward,0.017834,0.001017,3.292667,0.017854,-0.000009,0.000133
0.4733,long_1_forward,0.022918,0.001310,3.235591,0.022947,-0.000008,-0.056942
0.5100,long_1_forward,0.027876,0.001591,3.399710,0.027913,-0.000013,0.107177
0.5746,long_1_forward,0.033039,0.001900,3.369754,0.033086,0.000000,0.077221
0.6067,long_1_forward,0.038038,0.002192,3.369754,0.038093,0.000004,0.077221
0.6823,long_1_forward,0.043220,0.002500,3.291798,0.043284,0.000014,-0.000736
0.7089,long_1_forward,0.048149,0.002783,3.328967,0.048221,0.000013,0.036434
0.7814,long_1_forward,0.053396,0.003090,3.390599,0.053477,0.000018,0.098066
0.8070,long_1_forward,0.058323,0.003379,3.351254,0.058412,0.000024,0.058720
0.8757,long_1_forward,0.063503,0.003684,3.308686,0.063601,0.000031,0.016153
0.9097,long_1_forward,0.068438,0.003969,3.300306,0.068544,0.000032,0.007772
0.9887,long_1_forward,0.073545,0.004264,3.292307,0.073660,0.000033,-0.000226
1.0067,long_1_forward,0.078409,0.004543,3.300760,0.078532,0.000033,0.008227
1.0749,long_1_forward,0.083518,0.004839,3.076851,0.083650,0.000034,-0.215682
1.1070,long_1_forward,0.088340,0.005101,3.123209,0.088479,0.000019,-0.169324
1.1772,long_1_forward,0.093329,0.005371,3.047279,0.093475,0.000002,-0.245254
1.2067,long_1_forward,0.098219,0.005635,2.905867,0.098372,-0.000015,-0.386666
1.2732,long_1_forward,0.103329,0.005887,2.939002,0.103488,-0.000057,-0.353531
1.3068,long_1_forward,0.108130,0.006140,2.947472,0.108295,-0.000080,-0.345061
1.3735,long_1_forward,0.113218,0.006396,2.879598,0.113390,-0.000117,-0.412935
1.4073,long_1_forward,0.118105,0.006648,2.897610,0.118284,-0.000146,-0.394923
1.4766,long_1_forward,0.123059,0.006892,2.779730,0.123243,-0.000186,-0.512803
1.5091,long_1_forward,0.127948,0.007138,2.780860,0.128138,-0.000222,-0.511673
1.5741,long_1_forward,0.133159,0.007383,2.784072,0.133355,-0.000277,-0.508461
1.6067,long_1_forward,0.137966,0.007624,2.852479,0.138168,-0.000312,-0.440055
1.6736,long_1_forward,0.143013,0.007869,2.858733,0.143220,-0.000357,-0.433800
1.7078,long_1_forward,0.147899,0.008119,2.791199,0.148112,-0.000389,-0.501334
1.7733,long_1_forward,0.153047,0.008363,2.898465,0.153267,-0.000441,-0.394069
1.8067,long_1_forward,0.158139,0.008626,3.074483,0.158365,-0.000470,-0.218050
1.8772,long_1_forward,0.163528,0.008914,2.947469,0.163761,-0.000492,-0.345064
1.9094,long_1_forward,0.168460,0.009172,3.024130,0.168700,-0.000518,-0.268403
1.9736,long_1_forward,0.173805,0.009453,3.077612,0.174052,-0.000545,-0.214921
2.0083,long_1_forward,0.178747,0.009719,3.167243,0.179002,-0.000563,-0.125290
2.0733,long_1_forward,0.184041,0.010013,3.122799,0.184304,-0.000573,-0.169734
2.1110,long_1_forward,0.188964,0.010281,3.091504,0.189234,-0.000588,-0.201029
2.1733,long_1_forward,0.194133,0.010560,3.088266,0.194410,-0.000607,-0.204267
2.2085,long_1_forward,0.199261,0.010837,3.156203,0.199546,-0.000625,-0.136330
2.2754,long_1_forward,0.204336,0.011118,3.131841,0.204629,-0.000636,-0.160692
2.3102,long_1_forward,0.209391,0.011394,3.068217,0.209692,-0.000650,-0.224316
2.3739,long_1_forward,0.214766,0.011681,3.131034,0.215074,-0.000673,-0.161500
2.4249,long_1_forward,0.219622,0.011946,3.147058,0.219937,-0.000687,-0.145475
2.4758,long_1_forward,0.224821,0.012233,3.187423,0.225144,-0.000699,-0.105110
2.5099,long_1_forward,0.229675,0.012502,3.202389,0.230006,-0.000710,-0.090144
2.5748,long_1_forward,0.234839,0.012792,3.158893,0.235177,-0.000716,-0.133640
2.6066,long_1_forward,0.239798,0.013065,3.134541,0.240144,-0.000728,-0.157992
2.6755,long_1_forward,0.245057,0.013353,3.137842,0.245411,-0.000743,-0.154691
2.7067,long_1_forward,0.249936,0.013621,3.198468,0.250297,-0.000756,-0.094065
2.7741,long_1_forward,0.255116,0.013912,3.122063,0.255485,-0.000763,-0.170470
2.8061,long_1_forward,0.260144,0.014186,3.156218,0.260521,-0.000778,-0.136315
2.8759,long_1_forward,0.265308,0.014471,3.170124,0.265692,-0.000790,-0.122409
2.9095,long_1_forward,0.270194,0.014741,3.203487,0.270586,-0.000801,-0.089047
2.9744,long_1_forward,0.275426,0.015035,3.200429,0.275827,-0.000808,-0.092104
3.0069,long_1_forward,0.280298,0.015306,3.043641,0.280706,-0.000817,-0.248892
3.0746,long_1_forward,0.285414,0.015577,3.112408,0.285829,-0.000841,-0.180125
3.1089,long_1_forward,0.290275,0.015841,3.237564,0.290698,-0.000856,-0.054969
3.1741,long_1_forward,0.295339,0.016130,3.134878,0.295769,-0.000859,-0.157655
3.2088,long_1_forward,0.300162,0.016394,3.068473,0.300600,-0.000872,-0.224060
3.2733,long_1_forward,0.305372,0.016672,3.033196,0.305817,-0.000894,-0.259337
3.3078,long_1_forward,0.310224,0.016931,3.055575,0.310675,-0.000914,-0.236958
3.3752,long_1_forward,0.315368,0.017204,2.996303,0.315827,-0.000937,-0.296230
3.4101,long_1_forward,0.320134,0.017456,2.811155,0.320600,-0.000959,-0.481379
3.4769,long_1_forward,0.325298,0.017703,2.775222,0.325769,-0.001009,-0.517311
3.5088,long_1_forward,0.330053,0.017941,2.638817,0.330530,-0.001045,-0.653716
3.5730,long_1_forward,0.335150,0.018166,2.557090,0.335631,-0.001112,-0.735443
3.6070,long_1_forward,0.340013,0.018394,2.617772,0.340499,-0.001164,-0.674761
3.6734,long_1_forward,0.345100,0.018618,2.585409,0.345591,-0.001233,-0.707124
3.7097,long_1_forward,0.349996,0.018848,2.546004,0.350493,-0.001284,-0.746529
3.7735,long_1_forward,0.355191,0.019070,2.634714,0.355691,-0.001361,-0.657819
3.8074,long_1_forward,0.360119,0.019303,2.551863,0.360625,-0.001411,-0.740670
3.8763,long_1_forward,0.365338,0.019527,2.513247,0.365848,-0.001487,-0.779286
3.9102,long_1_forward,0.370297,0.019755,2.529911,0.370812,-0.001545,-0.762622
4.0516,long_1_forward,0.375641,0.019981,2.655267,0.376160,-0.001626,-0.637266
4.1180,long_1_forward,0.380700,0.020223,2.627764,0.381225,-0.001675,-0.664769
4.1217,long_1_forward,0.386100,0.020463,2.608075,0.386629,-0.001746,-0.684458
4.1250,long_1_forward,0.391009,0.020694,2.600050,0.391543,-0.001797,-0.692483
4.1739,long_1_forward,0.396255,0.020925,2.677881,0.396794,-0.001867,-0.614652
4.2314,long_1_forward,0.401118,0.021157,2.642817,0.401663,-0.001915,-0.649716
4.5931,long_1_forward,0.406404,0.021397,2.627930,0.406953,-0.001980,-0.664603
4.5966,long_1_forward,0.411289,0.021625,2.417180,0.411843,-0.002032,-0.875353
4.6000,long_1_forward,0.416494,0.021836,2.358189,0.417052,-0.002120,-0.934344
4.6029,long_1_forward,0.421545,0.022056,2.404360,0.422107,-0.002191,-0.888173
4.6035,long_1_forward,0.427103,0.022277,2.301001,0.427669,-0.002289,-0.991532
4.6041,long_1_forward,0.431905,0.022486,2.148014,0.432475,-0.002357,-1.144519
4.6060,long_1_forward,0.437449,0.022676,2.312440,0.438021,-0.002485,-0.980094
4.6079,long_1_forward,0.442278,0.022882,2.392542,0.442854,-0.002557,-0.899991
4.6741,long_1_forward,0.447609,0.023096,2.405185,0.448188,-0.002649,-0.887348
4.7070,long_1_forward,0.452547,0.023312,2.320223,0.453130,-0.002718,-0.972310
4.7736,long_1_forward,0.458039,0.023524,2.331411,0.458625,-0.002821,-0.961123
4.8079,long_1_forward,0.462879,0.023731,2.379166,0.463470,-0.002893,-0.913367
4.8768,long_1_forward,0.468280,0.023947,2.379608,0.468874,-0.002987,-0.912925
4.9108,long_1_forward,0.473138,0.024156,2.412115,0.473736,-0.003058,-0.880418
4.9733,long_1_forward,0.478529,0.024377,2.400212,0.479131,-0.003147,-0.892321
5.0075,long_1_forward,0.483387,0.024587,2.342368,0.483992,-0.003216,-0.950165
5.1645,long_1_forward,0.488774,0.024799,2.445866,0.489383,-0.003313,-0.846667
5.1684,long_1_forward,0.493561,0.025009,2.381781,0.494174,-0.003379,-0.910753
5.1747,long_1_forward,0.498896,0.025225,2.453005,0.499513,-0.003470,-0.839528
5.2078,long_1_forward,0.503772,0.025439,2.359415,0.504393,-0.003536,-0.933118
5.2749,long_1_forward,0.509193,0.025655,2.445041,0.509817,-0.003632,-0.847492
5.3069,long_1_forward,0.513945,0.025862,2.403076,0.514573,-0.003698,-0.889457
5.3756,long_1_forward,0.519327,0.026083,2.214199,0.519959,-0.003787,-1.078334
5.4080,long_1_forward,0.524134,0.026277,2.165124,0.524769,-0.003869,-1.127409
5.4773,long_1_forward,0.529393,0.026466,2.170534,0.530031,-0.003982,-1.121999
5.5104,long_1_forward,0.534149,0.026657,2.046584,0.534790,-0.004065,-1.245949
5.5734,long_1_forward,0.539546,0.026837,2.085980,0.540188,-0.004195,-1.206553
5.6069,long_1_forward,0.544206,0.027017,2.045004,0.544850,-0.004283,-1.247529
5.6738,long_1_forward,0.549642,0.027200,2.009115,0.550289,-0.004413,-1.283418
5.7086,long_1_forward,0.554440,0.027382,2.001475,0.555089,-0.004507,-1.291058
5.7735,long_1_forward,0.560089,0.027566,1.970853,0.560739,-0.004647,-1.321680
5.8070,long_1_forward,0.564905,0.027745,1.940197,0.565557,-0.004745,-1.352336
5.8770,long_1_forward,0.570779,0.027930,2.013617,0.571432,-0.004897,-1.278916
5.9097,long_1_forward,0.575576,0.028111,2.092194,0.576231,-0.004993,-1.200339
5.9782,long_1_forward,0.581201,0.028309,2.201118,0.581859,-0.005118,-1.091415
6.0070,long_1_forward,0.586172,0.028503,2.049510,0.586833,-0.005210,-1.243023
6.0759,long_1_forward,0.591643,0.028692,2.084338,0.592306,-0.005336,-1.208195
6.1103,long_1_forward,0.596464,0.028876,2.184897,0.597129,-0.005429,-1.107636
6.1733,long_1_forward,0.601891,0.029077,2.156176,0.602559,-0.005539,-1.136358
6.2073,long_1_forward,0.606947,0.029273,2.161659,0.607618,-0.005634,-1.130874
6.2770,long_1_forward,0.612231,0.029467,2.234473,0.612905,-0.005744,-1.058061
