elapsed_sec,phase,odom_x_m,odom_y_m,odom_yaw_deg,relative_x_m,relative_y_m,relative_yaw_deg
0.0385,long_1_forward,0.023964,0.514650,9.699005,0.000051,0.000000,0.002666
0.0797,long_1_forward,0.023914,0.514642,9.696606,0.000000,-0.000000,0.000267
0.1338,long_1_forward,0.023989,0.514655,9.667775,0.000076,-0.000000,-0.028564
0.1813,long_1_forward,0.025236,0.514866,9.528400,0.001341,-0.000002,-0.167938
0.2304,long_1_forward,0.027458,0.515240,9.597909,0.003594,-0.000007,-0.098430
0.3158,long_1_forward,0.032325,0.516060,9.539080,0.008530,-0.000018,-0.157258
0.3289,long_1_forward,0.035794,0.516646,9.628845,0.012048,-0.000025,-0.067493
0.3801,long_1_forward,0.041658,0.517641,9.622572,0.017996,-0.000033,-0.073766
0.4307,long_1_forward,0.045551,0.518300,9.590414,0.021944,-0.000039,-0.105924
0.4800,long_1_forward,0.051466,0.519300,9.605878,0.027943,-0.000049,-0.090461
0.5290,long_1_forward,0.055484,0.519980,9.602312,0.032018,-0.000056,-0.094027
0.5821,long_1_forward,0.061399,0.520976,9.510644,0.038017,-0.000070,-0.185694
0.6315,long_1_forward,0.065443,0.521655,9.559940,0.042117,-0.000082,-0.136399
0.6830,long_1_forward,0.071333,0.522647,9.559421,0.048090,-0.000096,-0.136917
0.7304,long_1_forward,0.075327,0.523317,9.498213,0.052140,-0.000108,-0.198125
0.7816,long_1_forward,0.081194,0.524298,9.480545,0.058088,-0.000129,-0.215794
0.8313,long_1_forward,0.085163,0.524962,9.528650,0.062112,-0.000143,-0.167688
0.8816,long_1_forward,0.091078,0.525957,9.552692,0.068111,-0.000159,-0.143647
0.9316,long_1_forward,0.094922,0.526603,9.530476,0.072009,-0.000170,-0.165863
0.9790,long_1_forward,0.100788,0.527588,9.540970,0.077957,-0.000186,-0.155369
1.0330,long_1_forward,0.104732,0.528251,9.537952,0.081956,-0.000197,-0.158386
1.0848,long_1_forward,0.110623,0.529240,9.520412,0.087929,-0.000215,-0.175926
1.1315,long_1_forward,0.114417,0.529877,9.541938,0.091776,-0.000226,-0.154401
1.1797,long_1_forward,0.120158,0.530843,9.573013,0.097598,-0.000240,-0.123325
1.2290,long_1_forward,0.124102,0.531505,9.465807,0.101597,-0.000252,-0.230532
1.2824,long_1_forward,0.129994,0.532485,9.430834,0.107570,-0.000278,-0.265504
1.3330,long_1_forward,0.133814,0.533119,9.413131,0.111443,-0.000297,-0.283208
1.3791,long_1_forward,0.139607,0.534083,9.478572,0.117315,-0.000322,-0.217767
1.4339,long_1_forward,0.143501,0.534732,9.452122,0.121263,-0.000338,-0.244217
1.4823,long_1_forward,0.149294,0.535695,9.421038,0.127135,-0.000365,-0.275300
1.5356,long_1_forward,0.153140,0.536330,9.341641,0.131033,-0.000386,-0.354698
1.5824,long_1_forward,0.159009,0.537292,9.271986,0.136981,-0.000427,-0.424352
1.6390,long_1_forward,0.163081,0.537957,9.256205,0.141106,-0.000458,-0.440133
1.6835,long_1_forward,0.168852,0.538898,9.267232,0.146953,-0.000502,-0.429107
1.7282,long_1_forward,0.172949,0.539561,9.129392,0.151104,-0.000538,-0.566947
1.7790,long_1_forward,0.178572,0.540466,9.163105,0.156798,-0.000593,-0.533234
1.8329,long_1_forward,0.182695,0.541130,9.137107,0.160974,-0.000633,-0.559231
1.8801,long_1_forward,0.188567,0.542079,9.214754,0.166922,-0.000687,-0.481585
1.9320,long_1_forward,0.192689,0.542748,9.224054,0.171098,-0.000722,-0.472285
1.9841,long_1_forward,0.198435,0.543681,9.218961,0.176919,-0.000770,-0.477377
2.0323,long_1_forward,0.202458,0.544333,9.193762,0.180994,-0.000805,-0.502576
2.0814,long_1_forward,0.208478,0.545313,9.306407,0.187094,-0.000852,-0.389931
2.1294,long_1_forward,0.212550,0.545981,9.323952,0.191220,-0.000880,-0.372386
2.1797,long_1_forward,0.218267,0.546933,9.572541,0.197016,-0.000905,-0.123797
2.2324,long_1_forward,0.222411,0.547626,9.431815,0.201217,-0.000919,-0.264523
2.2796,long_1_forward,0.228228,0.548598,9.540740,0.207115,-0.000941,-0.155599
2.3324,long_1_forward,0.232696,0.549349,9.541999,0.211645,-0.000953,-0.154339
2.3795,long_1_forward,0.238287,0.550290,9.564728,0.217315,-0.000967,-0.131610
2.4299,long_1_forward,0.242330,0.550970,9.518106,0.221415,-0.000978,-0.178232
2.4805,long_1_forward,0.248272,0.551965,9.492338,0.227439,-0.000998,-0.204001
2.5341,long_1_forward,0.252366,0.552648,9.450687,0.231590,-0.001015,-0.245651
2.5791,long_1_forward,0.258358,0.553647,9.481212,0.237664,-0.001039,-0.215126
2.6354,long_1_forward,0.262452,0.554331,9.493191,0.241815,-0.001054,-0.203148
2.6803,long_1_forward,0.268418,0.555331,9.541519,0.247865,-0.001073,-0.154820
2.7326,long_1_forward,0.272362,0.555993,9.505006,0.251864,-0.001085,-0.191332
2.7828,long_1_forward,0.276431,0.556676,9.558844,0.255989,-0.001097,-0.137494
2.8336,long_1_forward,0.282470,0.557697,9.632837,0.262114,-0.001108,-0.063501
2.8804,long_1_forward,0.286363,0.558358,9.626263,0.266063,-0.001112,-0.070075
2.9348,long_1_forward,0.292153,0.559338,9.590138,0.271935,-0.001121,-0.106200
2.9853,long_1_forward,0.296071,0.560000,9.589621,0.275909,-0.001129,-0.106717
3.0317,long_1_forward,0.301961,0.560994,9.579120,0.281882,-0.001140,-0.117219
3.0796,long_1_forward,0.305929,0.561665,9.619676,0.285906,-0.001147,-0.076662
3.1339,long_1_forward,0.311768,0.562654,9.601634,0.291829,-0.001156,-0.094704
3.1826,long_1_forward,0.315711,0.563322,9.621635,0.295828,-0.001162,-0.074703
3.2284,long_1_forward,0.321601,0.564316,9.545844,0.301801,-0.001174,-0.150495
3.2830,long_1_forward,0.325470,0.564967,9.538603,0.305725,-0.001184,-0.157736
3.3319,long_1_forward,0.331336,0.565955,9.595526,0.311673,-0.001198,-0.100813
3.3828,long_1_forward,0.335229,0.566611,9.525156,0.315621,-0.001207,-0.171182
3.4293,long_1_forward,0.340971,0.567573,9.503639,0.321443,-0.001225,-0.192699
3.4845,long_1_forward,0.344815,0.568218,9.542566,0.325340,-0.001237,-0.153772
3.5457,long_1_forward,0.350606,0.569188,9.472664,0.331212,-0.001257,-0.223674
3.5842,long_1_forward,0.354426,0.569826,9.473312,0.335085,-0.001272,-0.223026
3.6319,long_1_forward,0.360368,0.570816,9.460796,0.341109,-0.001296,-0.235542
3.6866,long_1_forward,0.364213,0.571454,9.377229,0.345007,-0.001315,-0.319109
3.7310,long_1_forward,0.369982,0.572406,9.366926,0.350853,-0.001348,-0.329412
3.7826,long_1_forward,0.374003,0.573067,9.294449,0.354928,-0.001374,-0.401889
3.8333,long_1_forward,0.379872,0.574030,9.336918,0.360876,-0.001413,-0.359421
3.8805,long_1_forward,0.383893,0.574691,9.336719,0.364951,-0.001439,-0.359620
3.9331,long_1_forward,0.389738,0.575650,9.297213,0.370874,-0.001478,-0.399126
4.0091,long_1_forward,0.393634,0.576294,9.467356,0.374822,-0.001500,-0.228983
4.0294,long_1_forward,0.399801,0.577319,9.421528,0.381074,-0.001527,-0.274810
4.0809,long_1_forward,0.403721,0.577971,9.466910,0.385047,-0.001545,-0.229429
4.1330,long_1_forward,0.409462,0.578936,9.615894,0.390869,-0.001560,-0.080444
4.1827,long_1_forward,0.413605,0.579635,9.516252,0.395070,-0.001570,-0.180086
4.2317,long_1_forward,0.419420,0.580614,9.603972,0.400968,-0.001584,-0.092366
4.2838,long_1_forward,0.423638,0.581328,9.614759,0.405245,-0.001591,-0.081580
4.3324,long_1_forward,0.429252,0.582282,9.661458,0.410940,-0.001596,-0.034881
4.3836,long_1_forward,0.433244,0.582964,9.740045,0.414990,-0.001596,0.043706
4.4284,long_1_forward,0.439431,0.584025,9.713954,0.421267,-0.001593,0.017616
4.4820,long_1_forward,0.443447,0.584714,9.768902,0.425342,-0.001589,0.072564
4.5298,long_1_forward,0.449234,0.585712,9.800801,0.431214,-0.001580,0.104463
4.5794,long_1_forward,0.453274,0.586408,9.757237,0.435314,-0.001574,0.060899
4.6289,long_1_forward,0.459111,0.587417,9.852690,0.441237,-0.001563,0.156352
5.1027,long_1_forward,0.463301,0.588142,9.780031,0.445489,-0.001554,0.083693
5.1034,long_1_forward,0.469038,0.589128,9.722821,0.451311,-0.001549,0.026482
5.1040,long_1_forward,0.473154,0.589836,9.801219,0.455487,-0.001544,0.104881
5.1046,long_1_forward,0.478990,0.590842,9.763495,0.461410,-0.001535,0.067156
5.1051,long_1_forward,0.482907,0.591516,9.748190,0.465383,-0.001531,0.051851
5.1057,long_1_forward,0.488744,0.592519,9.749004,0.471306,-0.001525,0.052666
5.1063,long_1_forward,0.492635,0.593188,9.773618,0.475255,-0.001521,0.077279
5.1069,long_1_forward,0.498546,0.594208,9.811402,0.481253,-0.001511,0.115063
5.1075,long_1_forward,0.502462,0.594886,9.814173,0.485227,-0.001503,0.117834
5.1277,long_1_forward,0.508348,0.595905,9.833086,0.491200,-0.001490,0.136747
