elapsed_sec,phase,odom_x_m,odom_y_m,odom_yaw_deg,relative_x_m,relative_y_m,relative_yaw_deg
0.0296,long_1_forward,0.086070,0.274012,-13.676290,0.000000,0.000000,-0.008236
0.0670,long_1_forward,0.086070,0.274012,-13.671215,0.000000,0.000000,-0.003162
0.1200,long_1_forward,0.086119,0.274000,-13.752279,0.000051,-0.000000,-0.084226
0.1755,long_1_forward,0.087914,0.273562,-13.669411,0.001898,-0.000001,-0.001358
0.2210,long_1_forward,0.090349,0.272971,-13.619385,0.004404,-0.000000,0.048669
0.2688,long_1_forward,0.095171,0.271803,-13.608550,0.009365,0.000004,0.059503
0.3197,long_1_forward,0.098738,0.270941,-13.583548,0.013035,0.000009,0.084506
0.3708,long_1_forward,0.104397,0.269574,-13.573376,0.018856,0.000018,0.094678
0.4193,long_1_forward,0.108210,0.268653,-13.573735,0.022780,0.000024,0.094318
0.4681,long_1_forward,0.114140,0.267224,-13.533553,0.028879,0.000037,0.134500
0.5246,long_1_forward,0.118053,0.266283,-13.515208,0.032904,0.000047,0.152845
0.5671,long_1_forward,0.123787,0.264903,-13.532508,0.038801,0.000062,0.135545
0.6205,long_1_forward,0.127750,0.263954,-13.418993,0.042876,0.000075,0.249060
0.6705,long_1_forward,0.133634,0.262551,-13.402222,0.048925,0.000102,0.265831
0.7210,long_1_forward,0.137451,0.261644,-13.342210,0.052849,0.000123,0.325844
0.7696,long_1_forward,0.143363,0.260246,-13.268569,0.058923,0.000161,0.399484
0.8196,long_1_forward,0.147205,0.259339,-13.287983,0.062871,0.000188,0.380070
0.8681,long_1_forward,0.153019,0.257966,-13.272655,0.068845,0.000228,0.395398
0.9224,long_1_forward,0.156936,0.257044,-13.226858,0.072869,0.000258,0.441195
0.9685,long_1_forward,0.162775,0.255668,-13.301782,0.078867,0.000300,0.366271
1.0190,long_1_forward,0.166494,0.254789,-13.296946,0.082689,0.000325,0.371107
1.0681,long_1_forward,0.172208,0.253432,-13.414559,0.088561,0.000357,0.253495
1.1263,long_1_forward,0.176024,0.252523,-13.389962,0.092484,0.000375,0.278091
1.1708,long_1_forward,0.181784,0.251143,-13.556474,0.098407,0.000395,0.111580
1.2197,long_1_forward,0.185597,0.250221,-13.624989,0.102330,0.000400,0.043064
1.2664,long_1_forward,0.191327,0.248828,-13.698396,0.108227,0.000401,-0.030343
1.3197,long_1_forward,0.195164,0.247893,-13.695045,0.112176,0.000399,-0.026992
1.3716,long_1_forward,0.200867,0.246495,-13.851514,0.118048,0.000388,-0.183461
1.4194,long_1_forward,0.204652,0.245564,-13.795022,0.121946,0.000378,-0.126969
1.4700,long_1_forward,0.210502,0.244126,-13.813909,0.127970,0.000363,-0.145856
1.5230,long_1_forward,0.214287,0.243198,-13.759060,0.131868,0.000355,-0.091007
1.5676,long_1_forward,0.220015,0.241791,-13.835406,0.137765,0.000342,-0.167352
1.6194,long_1_forward,0.224045,0.240798,-13.858224,0.141916,0.000329,-0.190170
1.6667,long_1_forward,0.229746,0.239393,-13.820758,0.147788,0.000311,-0.152704
1.7239,long_1_forward,0.233631,0.238441,-13.722772,0.151787,0.000304,-0.054718
1.7681,long_1_forward,0.239506,0.237002,-13.798820,0.157836,0.000294,-0.130767
1.8212,long_1_forward,0.243390,0.236051,-13.729224,0.161835,0.000288,-0.061170
1.8667,long_1_forward,0.249389,0.234582,-13.787159,0.168011,0.000278,-0.119106
1.9190,long_1_forward,0.253274,0.233632,-13.683233,0.172010,0.000273,-0.015179
1.9673,long_1_forward,0.259151,0.232201,-13.691126,0.178059,0.000271,-0.023072
2.0310,long_1_forward,0.263086,0.231242,-13.712776,0.182109,0.000269,-0.044722
2.0661,long_1_forward,0.268815,0.229845,-13.685652,0.188007,0.000266,-0.017599
2.1189,long_1_forward,0.272824,0.228869,-13.672503,0.192132,0.000265,-0.004450
2.1699,long_1_forward,0.278555,0.227477,-13.644097,0.198030,0.000266,0.023956
2.2202,long_1_forward,0.282711,0.226467,-13.656230,0.202307,0.000267,0.011823
2.2688,long_1_forward,0.288392,0.225085,-13.702242,0.208154,0.000266,-0.034189
2.3197,long_1_forward,0.292474,0.224089,-13.708094,0.212355,0.000263,-0.040041
2.3720,long_1_forward,0.298227,0.222683,-13.763312,0.218278,0.000256,-0.095259
2.4228,long_1_forward,0.302112,0.221731,-13.776436,0.222277,0.000249,-0.108383
2.4681,long_1_forward,0.307914,0.220311,-13.726405,0.228251,0.000241,-0.058352
2.5223,long_1_forward,0.311847,0.219348,-13.779385,0.232300,0.000235,-0.111331
2.5659,long_1_forward,0.317600,0.217941,-13.714923,0.238223,0.000226,-0.046870
2.6188,long_1_forward,0.321486,0.216994,-13.675678,0.242222,0.000225,-0.007624
2.6662,long_1_forward,0.327340,0.215575,-13.581420,0.248246,0.000229,0.086633
2.7203,long_1_forward,0.331326,0.214614,-13.512680,0.252346,0.000237,0.155373
2.7701,long_1_forward,0.337086,0.213233,-13.462522,0.258269,0.000256,0.205531
2.8192,long_1_forward,0.340901,0.212320,-13.457360,0.262192,0.000270,0.210693
2.8685,long_1_forward,0.346687,0.210939,-13.386769,0.268140,0.000296,0.281284
2.9192,long_1_forward,0.350577,0.210013,-13.388785,0.272139,0.000315,0.279269
2.9723,long_1_forward,0.356438,0.208621,-13.330953,0.278163,0.000348,0.337101
3.0192,long_1_forward,0.360329,0.207696,-13.422038,0.282162,0.000368,0.246015
3.0658,long_1_forward,0.365967,0.206352,-13.389131,0.287958,0.000395,0.278922
3.1188,long_1_forward,0.369857,0.205425,-13.435883,0.291957,0.000412,0.232170
3.1660,long_1_forward,0.375715,0.204023,-13.470771,0.297981,0.000435,0.197282
