elapsed_sec,phase,odom_x_m,odom_y_m,odom_yaw_deg,relative_x_m,relative_y_m,relative_yaw_deg
0.0049,long_1_forward,-0.447362,0.976648,-155.515703,-0.000111,0.000000,0.000000
0.0149,long_1_forward,-0.447470,0.976599,-155.535223,0.000008,-0.000000,-0.019519
0.0484,long_1_forward,-0.447501,0.976585,-155.536070,0.000043,0.000000,-0.020366
0.1149,long_1_forward,-0.447542,0.976566,-155.571280,0.000087,-0.000000,-0.055577
0.1483,long_1_forward,-0.447552,0.976562,-155.579876,0.000098,-0.000000,-0.064173
0.2123,long_1_forward,-0.447995,0.976360,-155.601772,0.000585,-0.000000,-0.086069
0.2452,long_1_forward,-0.450039,0.975431,-155.648038,0.002830,-0.000002,-0.132335
0.3125,long_1_forward,-0.453132,0.974031,-155.564195,0.006225,-0.000010,-0.048491
0.3537,long_1_forward,-0.456893,0.972322,-155.495427,0.010356,-0.000013,0.020276
0.4123,long_1_forward,-0.461194,0.970361,-155.435330,0.015083,-0.000011,0.080374
0.4484,long_1_forward,-0.465660,0.968321,-155.369983,0.019994,-0.000005,0.145720
0.5129,long_1_forward,-0.470325,0.966179,-155.238673,0.025126,0.000011,0.277030
0.5483,long_1_forward,-0.474929,0.964062,-155.228682,0.030194,0.000030,0.287021
0.6137,long_1_forward,-0.479659,0.961872,-155.194544,0.035406,0.000062,0.321159
0.6455,long_1_forward,-0.484160,0.959798,-155.043111,0.040361,0.000084,0.472592
0.7126,long_1_forward,-0.488871,0.957595,-155.014421,0.045562,0.000136,0.501283
0.7485,long_1_forward,-0.493387,0.955501,-155.117242,0.050540,0.000171,0.398461
0.8128,long_1_forward,-0.498086,0.953313,-155.098445,0.055724,0.000215,0.417258
0.8459,long_1_forward,-0.502555,0.951246,-155.098445,0.060647,0.000244,0.417258
0.9169,long_1_forward,-0.507221,0.949072,-155.108028,0.065794,0.000288,0.407675
0.9486,long_1_forward,-0.511709,0.946996,-155.136949,0.070739,0.000317,0.378754
1.0127,long_1_forward,-0.516314,0.944855,-155.182171,0.075818,0.000357,0.333532
1.0497,long_1_forward,-0.520816,0.942778,-155.164372,0.080775,0.000382,0.351331
1.1189,long_1_forward,-0.525441,0.940632,-155.115714,0.085873,0.000418,0.399989
1.1485,long_1_forward,-0.529866,0.938586,-155.025029,0.090749,0.000446,0.490675
1.2123,long_1_forward,-0.534526,0.936407,-155.126200,0.095892,0.000498,0.389504
1.2487,long_1_forward,-0.538971,0.934351,-155.362520,0.100790,0.000526,0.153183
1.3167,long_1_forward,-0.543594,0.932231,-155.286841,0.105876,0.000540,0.228863
1.3457,long_1_forward,-0.548029,0.930192,-155.254026,0.110757,0.000558,0.261678
1.4161,long_1_forward,-0.552827,0.927978,-155.358901,0.116041,0.000585,0.156803
1.4484,long_1_forward,-0.557187,0.925978,-155.374344,0.120839,0.000598,0.141359
